Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
GSW,GSW vs. DAL,03/23/2019,,L,240,91,36,90,40.0,4,30,13.3,15,21,71.4,8,28,36,22,6,2,10,22
OKC,OKC @ TOR,03/22/2019,,W,240,116,42,94,44.7,20,43,46.5,12,14,85.7,12,27,39,30,9,6,13,21
TOR,TOR vs. OKC,03/22/2019,,L,240,109,39,78,50.0,13,25,52.0,18,21,85.7,11,35,46,20,7,7,22,24
MIL,MIL vs. MIA,03/22/2019,,W,240,116,43,85,50.6,17,34,50.0,13,20,65.0,9,43,52,33,5,5,16,23
MIA,MIA @ MIL,03/22/2019,,L,240,87,32,85,37.6,11,37,29.7,12,23,52.2,10,30,40,20,7,6,13,18
HOU,HOU vs. SAS,03/22/2019,,W,240,111,36,86,41.9,14,37,37.8,25,32,78.1,8,40,48,12,5,4,10,19
SAS,SAS @ HOU,03/22/2019,,L,240,105,41,90,45.6,7,24,29.2,16,17,94.1,9,39,48,27,6,7,11,23
CLE,CLE vs. LAC,03/22/2019,,L,240,108,43,90,47.8,12,31,38.7,10,13,76.9,8,33,41,14,7,2,13,22
LAC,LAC @ CLE,03/22/2019,,W,240,110,42,82,51.2,6,26,23.1,20,23,87.0,7,36,43,24,6,6,12,16
ORL,ORL vs. MEM,03/22/2019,,W,265,123,44,93,47.3,14,39,35.9,21,27,77.8,4,40,44,30,6,5,9,16
MEM,MEM @ ORL,03/22/2019,,L,265,119,47,93,50.5,15,38,39.5,10,21,47.6,10,42,52,28,5,6,13,24
NYK,NYK vs. DEN,03/22/2019,,L,240,93,34,90,37.8,9,32,28.1,16,21,76.2,8,37,45,20,3,5,7,15
DEN,DEN @ NYK,03/22/2019,,W,240,111,40,96,41.7,15,38,39.5,16,19,84.2,17,45,62,24,5,5,9,15
BKN,BKN @ LAL,03/22/2019,,W,240,111,37,92,40.2,16,42,38.1,21,28,75.0,11,36,47,21,8,4,14,25
LAL,LAL vs. BKN,03/22/2019,,L,240,106,37,96,38.5,9,36,25.0,23,32,71.9,19,40,59,21,8,9,16,26
WAS,WAS vs. DEN,03/21/2019,,L,240,108,40,79,50.6,8,28,28.6,20,21,95.2,6,32,38,25,4,2,12,15
DEN,DEN @ WAS,03/21/2019,,W,240,113,46,87,52.9,14,30,46.7,7,11,63.6,9,31,40,30,9,4,8,20
MIN,MIN @ CHA,03/21/2019,,L,240,106,39,88,44.3,10,28,35.7,18,29,62.1,9,40,49,23,6,7,13,21
CHA,CHA vs. MIN,03/21/2019,,W,240,113,43,100,43.0,9,29,31.0,18,24,75.0,15,40,55,26,5,6,10,24
DAL,DAL @ SAC,03/21/2019,,L,240,100,36,92,39.1,12,40,30.0,16,23,69.6,9,34,43,23,5,6,8,22
SAC,SAC vs. DAL,03/21/2019,,W,240,116,41,87,47.1,13,35,37.1,21,28,75.0,12,46,58,24,7,9,12,18
ATL,ATL vs. UTA,03/21/2019,,W,240,117,41,87,47.1,19,40,47.5,16,23,69.6,9,34,43,26,8,5,17,23
UTA,UTA @ ATL,03/21/2019,,L,240,114,43,94,45.7,10,32,31.3,18,26,69.2,14,35,49,25,12,3,15,24
DET,DET @ PHX,03/21/2019,,W,240,118,38,90,42.2,17,42,40.5,25,34,73.5,19,27,46,23,11,6,15,26
PHX,PHX vs. DET,03/21/2019,,L,240,98,35,73,47.9,7,26,26.9,21,26,80.8,7,28,35,22,6,4,19,27
IND,IND @ GSW,03/21/2019,,L,240,89,35,91,38.5,6,23,26.1,13,17,76.5,12,35,47,17,7,3,16,18
GSW,GSW vs. IND,03/21/2019,,W,240,112,44,89,49.4,13,36,36.1,11,16,68.8,10,40,50,32,6,8,16,19
TOR,TOR @ OKC,03/20/2019,,W,265,123,45,87,51.7,14,36,38.9,19,21,90.5,6,46,52,30,11,5,19,27
OKC,OKC vs. TOR,03/20/2019,,L,265,114,43,103,41.7,13,43,30.2,15,29,51.7,16,32,48,22,6,2,17,22
HOU,HOU @ MEM,03/20/2019,,L,265,125,42,94,44.7,21,48,43.8,20,20,100,11,28,39,19,10,4,14,27
MEM,MEM vs. HOU,03/20/2019,,W,265,126,41,89,46.1,13,37,35.1,31,39,79.5,15,36,51,20,8,0,17,19
POR,POR vs. DAL,03/20/2019,,W,240,126,45,91,49.5,16,36,44.4,20,25,80.0,12,36,48,23,6,4,14,17
DAL,DAL @ POR,03/20/2019,,L,240,118,43,87,49.4,10,30,33.3,22,25,88.0,6,29,35,20,8,6,14,22
CLE,CLE vs. MIL,03/20/2019,,W,240,107,39,93,41.9,11,39,28.2,18,24,75.0,13,41,54,18,4,6,12,17
MIL,MIL @ CLE,03/20/2019,,L,240,102,36,91,39.6,13,32,40.6,17,21,81.0,11,40,51,24,9,7,10,16
NOP,NOP @ ORL,03/20/2019,,L,240,96,38,102,37.3,10,34,29.4,10,13,76.9,14,35,49,24,9,2,13,15
ORL,ORL vs. NOP,03/20/2019,,W,240,119,46,102,45.1,15,38,39.5,12,14,85.7,20,45,65,28,8,10,14,14
UTA,UTA @ NYK,03/20/2019,,W,240,137,48,85,56.5,20,42,47.6,21,25,84.0,7,33,40,38,7,3,10,18
NYK,NYK vs. UTA,03/20/2019,,L,240,116,45,86,52.3,13,31,41.9,13,21,61.9,8,32,40,23,6,6,14,21
